address,entity,category,label_source,is_contract,contract_name,proxy,implementation,impl_contract_name,total_volume
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,UniswapV3_WETH_USDC_500,dex_pool,etherscan_contract_name,True,UniswapV3Pool,0.0,,,145631509063.35275
0xa69babef1ca67a37ffaf7a485dfff3382056e78c,MEV_bot_7,mev_bot,raw_address,True,,1.0,0x3376d7d055f5d7b83b0f03c886011b1dbafef276,,72390917153.94994
0x56178a0d5f301baf6cf3e1cd53d9863437345bf9,0x56178a0d5f301baf6cf3e1cd53d9863437345bf9,unknown,raw_address,False,,,,,50273219814.786575
0xa57bd00134b2850b2a1c55860c9e9ea100fdd6cf,MEV_bot_6,mev_bot,raw_address,True,,1.0,0x37520f2236e9a1386df0530367b85a75c5b4c3f0,,47268834539.88532
0xf8b721bff6bf7095a0e10791ce8f998baa254fd0,MEV_bot_5,mev_bot,raw_address,True,,0.0,,,43348716883.80631
0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,Coinbase_1,CEX,raw_address,True,,0.0,,,30366476815.00897
0x55fe002aeff02f77364de339a1292923a15844b8,Circle_treasury,issuer,raw_address,False,,,,,28160019986.259487
0x28c6c06298d514db089934071355e5743bf21d60,Binance,CEX,raw_address,False,,,,,24145519407.522087
0x7122db0ebe4eb9b434a9f2ffe6760bc03bfbd0e0,1inch_router,aggregator_router,raw_address,True,,0.0,,,14972607649.108707
0x2cc5146929a893d1d73bc34fb37815cc1a44ae33,Coinbase,CEX,raw_address,True,,0.0,,,13473242036.0
0x5777d92f208679db4b9778590fa3cab3ac9e2168,UniswapV3_USDC_DAI_100,dex_pool,etherscan_contract_name,True,UniswapV3Pool,0.0,,,10277486007.145538
0x50379f632ca68d36e50cfbc8f78fe16bd1499d1e,G-UNI_DAI_USDC,dex_pool,etherscan_impl_contract_name,True,EIP173Proxy,1.0,0xb542d5cb34ef265fb87c170181127332f7797369,GUniPool,9222810829.028524
0xad4ac4eb660d2b2d78a062bf136610af15defd80,0xad4ac4eb660d2b2d78a062bf136610af15defd80,unknown,raw_address,False,,,,,9000517513.44
0xbcca60bb61934080951369a648fb03df4f96263c,Aave_aUSDC_Token_V2,lending_token,etherscan_impl_contract_name,True,InitializableImmutableAdminUpgradeabilityProxy,1.0,0x1c050bca8babe53ef769d0d2e411f556e1a27e7b,AToken,8859596769.388859
0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,Curve_3Pool,dex_pool,etherscan_contract_name,True,Vyper_contract,0.0,,,8633029303.658485
0xad6eaa735d9df3d7696fd03984379dae02ed8862,Cumberland,CEX,raw_address,False,,,,,7747672924.14603
0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,UniswapV3_WETH_USDC_3000,dex_pool,etherscan_contract_name,True,UniswapV3Pool,0.0,,,7589929917.34306
0x3416cf6c708da44db2624d63ea0aaef7113527c6,UniswapV3_USDC_USDT_100,dex_pool,etherscan_contract_name,True,UniswapV3Pool,0.0,,,7155680832.716551
0xf977814e90da44bfa03b6295a0616a897441acec,Binance_2,CEX,raw_address,False,,,,,7130943740.882
0xdfd5293d8e347dfe59e90efd55b2956a1343963d,Binance_3,CEX,raw_address,False,,,,,7008612591.201335
0xc36442b4a4522e871399cd717abdd847ab11fe88,NonfungiblePositionManager,contract,etherscan_impl_contract_name,True,NonfungiblePositionManager,1.0,0xc36442b4a4522e871399cd717abdd847ab11fe88,NonfungiblePositionManager,6819581761.41548
0x0a59649758aa4d66e25f08dd01271e891fe52199,Sky-USDC,lending_token,etherscan_contract_name,True,AuthGemJoin5,0.0,,,6430089405.863015
0x6c6bc977e13df9b0de53b251522280bb72383700,UniswapV3_USDC_DAI_500,dex_pool,etherscan_contract_name,True,UniswapV3Pool,0.0,,,6023642347.142036
0x4594467601ce92b0d94fc5112722131a535ef0c7,0x4594467601ce92b0d94fc5112722131a535ef0c7,unknown,raw_address,False,,,,,5845801011.2121525
0xac44f2d75876ead509a2ceb099bc14f9547b5db6,0xac44f2d75876ead509a2ceb099bc14f9547b5db6,contract,raw_address,True,,0.0,,,5779311039.31898
0x21a31ee1afc51d94c2efccaa2092ad1028285549,Binance_4,CEX,raw_address,False,,,,,5738863690.997634
0xae2d4617c862309a3d75a0ffb358c7a5009c673f,Kraken,CEX,raw_address,False,,,,,5611427123.782353
0xabddafb225e10b90d798bb8a886238fb835e2053,Arrakis_DAI-USDC,dex_pool,etherscan_impl_contract_name,True,EIP173Proxy,1.0,0xb542d5cb34ef265fb87c170181127332f7797369,GUniPool,5594545331.651012
0x28c5b0445d0728bc25f143f8eba5c5539fae151a,Coinbase_2,CEX,raw_address,False,,,,,5471021691.98
0x9a21cf1552630a00eed185f3aaf7af3751226e42,Binance_5,CEX,raw_address,False,,,,,5430696733.8581295
0x280027dd00ee0050d3f9d168efd6b40090009246,0x280027dd00ee0050d3f9d168efd6b40090009246,contract,raw_address,True,,0.0,,,5325943551.705368
0xe0554a476a092703abdb3ef35c80e0d76d32939f,UniswapV3_WETH_USDC_100,dex_pool,etherscan_contract_name,True,UniswapV3Pool,0.0,,,4897081352.0186
0xba12222222228d8ba445958a75a0704d566bf2c8,Balancer_Vault,dex_vault,etherscan_contract_name,True,Vault,0.0,,,4875092348.750382
0x1111567e0954e74f6ba7c4732d534e75b81dc42e,0x1111567e0954e74f6ba7c4732d534e75b81dc42e,contract,raw_address,True,,0.0,,,4853111300.800483
0x00000000008c4fb1c916e0c88fd4cc402d935e7d,MEV_bot,mev_bot,raw_address,True,,0.0,,,4593464846.492505
0x6c0a68b655a58ac43be789d90910ed57af418821,0x6c0a68b655a58ac43be789d90910ed57af418821,contract,raw_address,True,,0.0,,,4503250725.198155
